Benchmark	Total atoms	consequence time	consequence size	GWRS time	GWRS size	GSRS time	GSRS size
./Hampath/x15.39.out	247	0.800	102	0.080	88	0.030	88	
./Hampath/x5.24.out	59	0.020	26	0.000	22	0.000	22	
./Hampath/x10.41.out	135	0.180	58	0.020	49	0.010	49	
./Hampath/x15.23.out	241	0.720	100	0.070	86	0.030	86	
./Hampath/x10.48.out	141	0.240	60	0.020	51	0.020	51	
./Hampath/x15.37.out	247	0.810	102	0.070	88	0.040	88	
./Hampath/x10.33.out	141	0.200	60	0.020	51	0.010	51	
./Hampath/x10.7.out	147	0.260	62	0.020	53	0.010	53	
./Hampath/x15.34.out	229	0.770	96	0.060	82	0.020	82	
./Hampath/x10.43.out	147	0.250	62	0.030	53	0.010	53	
./Hampath/x5.42.out	53	0.020	24	0.000	20	0.000	20	
./Hampath/x15.49.out	247	0.800	102	0.070	88	0.030	88	
./Hampath/x10.25.out	135	0.210	58	0.020	49	0.010	49	
./Hampath/x15.19.out	241	0.630	100	0.070	86	0.030	86	
./Hampath/x10.23.out	141	0.240	60	0.020	51	0.020	51	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.6-80-7.cnf.dl.out	161	0.090	101	0.030	100	0.010	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho0.8-79-5.cnf.dl.out	159	0.070	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho0.8-79-10.cnf.dl.out	159	0.080	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.6-80-3.cnf.dl.out	161	0.090	101	0.040	100	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho1.0-80-2.cnf.dl.out	161	0.060	81	0.030	80	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.8-79-7.cnf.dl.out	159	0.090	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.8-79-3.cnf.dl.out	159	0.090	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.6-80-9.cnf.dl.out	161	0.090	101	0.040	100	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho0.8-79-2.cnf.dl.lparse.out	159	0.080	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho0.8-79-2.cnf.dl.out	159	0.070	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.8-79-10.cnf.dl.out	159	0.080	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.6-80-2.cnf.dl.out	161	0.090	101	0.040	100	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho1.0-80-10.cnf.dl.out	161	0.060	81	0.020	80	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.6-80-8.cnf.dl.out	161	0.090	101	0.040	100	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha6.00rho0.8-79-6.cnf.dl.out	159	0.080	89	0.030	88	0.000	0	
./RandomQuantifiedBooleanFormulas/Ql2k3alpha5.00rho1.0-80-8.cnf.dl.out	161	0.070	81	0.020	80	0.000	0	
./StrategicCompanies/stratcomp.ngrnd.x150.26.out	2100	13.040	1952	6.410	1950	3.140	1950	
./StrategicCompanies/x80.2.out	1120	3.590	1042	1.870	1040	0.900	1040	
./StrategicCompanies/x130.15.out	1820	9.640	1692	4.770	1690	2.350	1690	
./StrategicCompanies/x155.17.out	2170	14.060	2017	6.850	2015	3.350	2015	
./StrategicCompanies/x160.6.out	2240	14.890	2082	7.610	2080	3.660	2080	
./StrategicCompanies/x135.15.out	1890	10.530	1757	5.220	1755	2.550	1755	
./StrategicCompanies/x90.13.out	1260	4.570	1172	2.310	1170	1.130	1170	
./StrategicCompanies/stratcomp.ngrnd.x135.11.out	1890	10.510	1757	5.160	1755	2.540	1755	
./StrategicCompanies/x165.0.out	2310	15.830	2147	8.180	2145	3.880	2145	
./StrategicCompanies/stratcomp.ngrnd.x150.2.out	2100	12.960	1952	6.390	1950	3.160	1950	
./StrategicCompanies/x165.17.out	2310	15.840	2147	8.130	2145	3.890	2145	
./StrategicCompanies/x165.8.out	2310	15.900	2147	8.060	2145	3.920	2145	
./StrategicCompanies/x170.7.out	2380	16.770	2212	8.190	2210	4.020	2210	
./StrategicCompanies/x170.1.out	2380	16.790	2212	8.250	2210	4.060	2210	
./StrategicCompanies/stratcomp.ngrnd.x125.45.out	1750	8.890	1627	4.420	1625	2.180	1625	
