Benchmark	Total atoms	consequence time	consequence size	GWRS size	GWRS time	GSRS size	GSRS time
./EqTest/qeq.11.out	511	9.780	24	22	0.230	22	0.140	
./EqTest/qeq.09.out	347	3.730	20	18	0.100	18	0.080	
./EqTest/qeq.08.out	277	2.120	18	16	0.070	16	0.050	
./EqTest/qeq.12.out	605	14.970	26	24	0.310	24	0.200	
./EqTest/qeq.10.out	425	6.170	22	20	0.160	20	0.100	
./HamiltonianPath/gryzzles.21.out	1485	73.910	668	539	0.980	539	0.380	
./HamiltonianPath/gryzzles.41.out	1473	67.950	668	536	0.980	536	0.380	
./HamiltonianPath/gryzzles.24.out	1431	76.170	642	519	0.930	519	0.360	
./HamiltonianPath/gryzzles.39.out	1381	39.910	624	502	0.860	502	0.340	
./HamiltonianPath/gryzzles.23.out	1503	62.740	674	545	1.020	545	0.400	
./HamiltonianPath/gryzzles.5.out	1413	53.020	628	511	0.890	511	0.360	
./HamiltonianPath/gryzzles.15.out	1641	92.080	732	594	1.220	594	0.470	
./HamiltonianPath/gryzzles.47.out	1805	83.130	788	649	1.450	649	0.580	
./HamiltonianPath/hampath.ngrnd.5.out	1851	71.770	750	651	1.550	651	0.660	
./HamiltonianPath/gryzzles.20.out	1555	75.540	694	563	1.080	563	0.440	
./HamiltonianPath/gryzzles.31.out	1471	71.660	666	535	0.990	535	0.380	
./HamiltonianPath/gryzzles.13.out	1351	62.880	610	491	0.830	491	0.320	
./HamiltonianPath/gryzzles.48.out	1621	110.530	716	585	1.180	585	0.470	
./HamiltonianPath/gryzzles.28.out	1469	83.600	660	533	0.970	533	0.380	
./RandomNonTight/n50-unsat-b1.lp.out	50	0.120	1	0	0.000	0	0.000	
./RandomNonTight/n50-unsat-b11.lp.out	50	0.120	1	0	0.010	0	0.000	
./RandomNonTight/n50-unsat-b2.lp.out	50	0.060	0	0	0.000	0	0.010	
./RandomNonTight/n60-unsat-b9.lp.out	60	0.090	0	0	0.010	0	0.000	
./RandomNonTight/n60-unsat-b12.lp.out	60	0.060	0	0	0.000	0	0.010	
./RandomNonTight/n50-sat-b14.lp.out	50	0.130	1	0	0.000	0	0.010	
./RandomNonTight/n50-unsat-b15.lp.out	50	0.060	0	0	0.010	0	0.000	
./RandomNonTight/n50-unsat-b17.lp.out	50	0.120	2	0	0.000	0	0.010	
./RandomNonTight/n50-unsat-b4.lp.out	50	0.060	0	0	0.000	0	0.010	
./RandomNonTight/n50-unsat-b5.lp.out	50	0.060	0	0	0.000	0	0.000	
./RandomNonTight/n50-unsat-b16.lp.out	50	0.120	1	0	0.000	0	0.010	
./RandomNonTight/n60-unsat-b13.lp.out	60	0.180	1	0	0.010	0	0.010	
./RandomNonTight/n60-sat-b19.lp.out	60	0.080	0	0	0.010	0	0.010	
./RandomNonTight/n60-unsat-b11.lp.out	60	0.180	1	0	0.010	0	0.000	
./RLP-150/lp.150.00750.4.out	150	0.080	0	0	0.000	0	0.010	
./RLP-150/lp.150.00750.18.out	150	0.130	0	0	0.000	0	0.000	
./RLP-150/lp.150.00600.21.out	150	0.100	0	0	0.000	0	0.000	
./RLP-150/lp.150.00675.8.out	149	0.120	0	0	0.010	0	0.000	
./RLP-150/lp.150.00675.26.out	149	0.150	0	0	0.010	0	0.000	
./RLP-150/lp.150.00675.13.out	150	0.120	0	0	0.010	0	0.000	
./RLP-150/lp.150.00825.4.out	150	0.140	0	0	0.010	0	0.000	
./RLP-150/lp.150.00825.25.out	150	0.140	0	0	0.000	0	0.000	
./RLP-150/lp.150.00750.25.out	149	0.140	0	0	0.000	0	0.010	
./RLP-150/lp.150.00825.12.out	150	0.150	0	0	0.000	0	0.010	
./RLP-150/lp.150.00675.10.out	150	0.120	0	0	0.000	0	0.010	
./RLP-150/lp.150.00825.1.out	150	0.150	0	0	0.010	0	0.000	
./RLP-150/lp.150.00675.5.out	149	0.120	0	0	0.000	0	0.010	
./RLP-150/lp.150.00675.6.out	150	0.120	0	0	0.000	0	0.010	
./RLP-200/lp.200.01500.21.out	200	0.370	0	0	0.010	0	0.010	
./RLP-200/lp.200.01100.16.out	199	0.260	0	0	0.000	0	0.010	
./RLP-200/lp.200.01400.19.out	200	0.230	0	0	0.000	0	0.010	
./RLP-200/lp.200.01300.18.out	200	0.310	0	0	0.000	0	0.000	
./RLP-200/lp.200.00800.22.out	198	0.240	0	0	0.000	0	0.000	
./RLP-200/lp.200.01500.9.out	200	0.250	0	0	0.010	0	0.000	
./RLP-200/lp.200.01400.27.out	200	0.350	0	0	0.010	0	0.010	
./RLP-200/lp.200.01500.3.out	200	0.250	0	0	0.010	0	0.010	
./RLP-200/lp.200.01400.7.out	200	0.240	0	0	0.000	0	0.010	
./RLP-200/lp.200.01200.12.out	200	0.290	0	0	0.010	0	0.000	
./RLP-200/lp.200.00800.17.out	199	0.240	0	0	0.010	0	0.000	
./RLP-200/lp.200.00800.5.out	199	0.360	1	0	0.000	0	0.000	
./RLP-200/lp.200.01000.4.out	200	0.330	0	0	0.000	0	0.000	
./RLP-200/lp.200.00900.8.out	199	0.270	0	0	0.000	0	0.000	
./SchurNumbers/schur.ngrnd.4-42.out	718	79.110	325	136	1.200	136	1.370	
./SchurNumbers/schur.ngrnd.4-44.out	752	90.330	339	142	1.340	142	1.550	
./SchurNumbers/schur.ngrnd.4-43.out	735	84.990	332	139	1.270	139	1.480	
./SchurNumbers/schur.ngrnd.4-45.out	769	96.950	346	145	1.430	145	1.650	
./SchurNumbers/schur.ngrnd.4-41.out	701	73.540	318	133	1.110	133	1.280	
